k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
51,52,2.1024,921.9611,140.9848,-38.9935,-138.2784,143.6712,0.7766,254.2519,103.8728,283.8728,29.6209
52,53,2.1437,920.1708,135.3582,-45.9117,-136.4259,143.9441,0.7781,251.4003,102.4505,282.4505,31.0502
53,54,2.1849,918.1757,129.7366,-48.8939,-131.4294,140.2295,0.7580,249.5940,130.1157,310.1157,60.5217
54,55,2.2261,916.1396,124.5220,-49.0743,-124.3257,133.6606,0.7225,248.4597,133.7385,313.7385,65.2789
55,56,2.2673,914.1296,119.4861,-48.9032,-118.5012,128.1954,0.6929,247.5750,138.3892,318.3892,70.8143
56,57,2.3086,912.1076,114.7517,-52.7613,-113.2851,124.9691,0.6755,245.0268,140.7749,320.7749,75.7482
57,58,2.3498,909.7795,110.1459,-58.1593,-108.7046,123.2850,0.6664,241.8523,146.2954,326.2954,84.4431
58,59,2.3910,907.3124,105.7891,-62.1316,-100.5191,118.1711,0.6388,238.2795,149.1374,149.1374,-89.1421
59,60,2.4322,904.6568,101.8582,-69.6637,-88.0648,112.2873,0.6070,231.6542,152.0746,152.0746,-79.5797
60,61,2.4735,901.5687,98.5283,-78.0172,-75.8045,108.7797,0.5880,224.1759,153.2868,153.2868,-70.8891
61,62,2.5147,898.2244,95.6082,-81.5642,-65.6522,104.7040,0.5660,218.8311,155.1394,155.1394,-63.6917
62,63,2.5559,894.8438,93.1153,-81.5911,-55.2714,98.5497,0.5327,214.1145,156.1279,156.1279,-57.9865
63,65,2.5971,891.4973,91.0511,-74.2517,-45.2949,86.9766,0.4701,211.3840,156.9298,156.9298,-54.4542
64,66,2.6384,888.7218,89.3808,-72.6638,-38.6976,82.3258,0.4450,208.0378,158.5049,158.5049,-49.5330
65,67,2.6796,885.5062,87.8605,-87.6829,-37.5003,95.3654,0.5155,203.1555,160.5590,160.5590,-42.5965
66,68,2.7208,881.4925,86.2889,-103.8931,-37.0411,110.2988,0.5962,199.6227,163.5868,163.5868,-36.0359
67,69,2.7620,876.9403,84.8065,-131.5373,-39.7308,137.4067,0.7427,196.8069,161.7361,161.7361,-35.0709
68,70,2.8033,870.6473,83.0132,-171.5722,-42.6093,176.7840,0.9556,193.9470,162.9622,162.9622,-30.9848
69,71,2.8445,862.7944,81.2934,-200.2614,-36.0392,203.4784,1.0999,190.2018,163.7346,163.7346,-26.4672
70,72,2.8857,854.1360,80.0418,-216.8773,-24.2519,218.2290,1.1796,186.3805,156.8814,156.8814,-29.4991
71,73,2.9269,844.9131,79.2939,-219.5381,-8.1402,219.6889,1.1875,182.1235,155.6419,155.6419,-26.4816
72,74,2.9682,836.0353,79.3706,-200.3826,12.5380,200.7745,1.0853,176.4197,154.7054,154.7054,-21.7143
73,75,3.0094,828.3917,80.3276,-184.9981,25.5534,186.7546,1.0095,172.1356,155.1437,155.1437,-16.9919
74,76,3.0506,820.7824,81.4775,-183.6902,32.4831,186.5402,1.0083,169.9717,154.9072,154.9072,-15.0645
75,77,3.0918,813.2466,83.0058,-199.8280,41.8832,204.1701,1.1036,168.1624,155.7294,155.7294,-12.4330
76,78,3.1331,804.3068,84.9307,-224.9935,48.6493,230.1930,1.2443,167.7990,155.8514,155.8514,-11.9476
77,79,3.1743,794.6962,87.0169,-222.7158,47.8670,227.8017,1.2314,167.8703,154.8575,154.8575,-13.0128
78,80,3.2155,785.9441,88.8773,-176.2445,31.2080,178.9863,0.9675,169.9586,152.4882,152.4882,-17.4704
79,81,3.2567,780.1650,89.5900,-155.2602,33.1043,158.7502,0.8581,167.9637,152.6655,152.6655,-15.2982
80,82,3.2980,773.1431,91.6067,-173.6053,59.7708,183.6065,0.9925,161.0019,152.5312,152.5312,-8.4707
81,83,3.3392,765.8514,94.5180,-193.0540,78.3426,208.3444,1.1262,157.9123,150.8904,150.8904,-7.0219
82,84,3.3804,757.2259,98.0660,-207.4558,87.6936,225.2290,1.2175,157.0857,148.7418,148.7418,-8.3440
83,85,3.4216,748.7469,101.7483,-177.6624,78.2257,194.1216,1.0493,156.2359,149.2516,149.2516,-6.9843
84,86,3.4629,742.5779,104.5156,-119.6821,47.2979,128.6892,0.6956,158.4363,149.6693,149.6693,-8.7670
85,87,3.5041,738.8792,105.6479,-97.0311,39.3702,104.7141,0.5660,157.9152,147.6366,147.6366,-10.2787
86,88,3.5453,734.5777,107.7616,-89.6210,51.4199,103.3244,0.5585,150.1550,146.7651,146.7651,-3.3899
87,90,3.5865,731.4901,109.8875,-71.8607,49.0051,86.9797,0.4702,145.7081,145.1680,145.1680,-0.5401
88,91,3.6278,728.6529,111.8021,-64.3877,48.5358,80.6318,0.4358,142.9908,143.9089,143.9089,0.9181
89,92,3.6690,726.1814,113.8892,-62.1388,53.6452,82.0917,0.4437,139.1955,147.7183,147.7183,8.5227
90,93,3.7102,723.5296,116.2251,-73.1642,59.8680,94.5366,0.5110,140.7076,144.7008,144.7008,3.9932
91,94,3.7514,720.1490,118.8252,-95.5023,75.0952,121.4906,0.6567,141.8214,144.1245,144.1245,2.3031
92,95,3.7927,715.6556,122.4166,-96.3615,85.6811,128.9449,0.6970,138.3577,144.1764,144.1764,5.8187
93,96,3.8339,712.2041,125.8896,-114.6832,101.5073,153.1535,0.8279,138.4876,144.5154,144.5154,6.0278
94,97,3.8751,706.2000,130.7858,-130.5173,119.7497,177.1292,0.9575,137.4636,139.8498,139.8498,2.3862
95,98,3.9163,701.4431,135.7628,-115.1485,127.0206,171.4451,0.9267,132.1934,145.4862,145.4862,13.2928
96,99,3.9576,696.7062,141.2585,-114.6643,139.6022,180.6563,0.9765,129.3985,141.1172,141.1172,11.7187
97,100,3.9988,691.9892,147.2728,-114.4222,145.8930,185.4109,1.0022,128.1067,149.7365,149.7365,21.6299
